"","Species","total_captures","unique_individuals","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar"
"1","Acadian Flycatcher",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Alder Flycatcher",1,1,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"3","American Goldfinch",4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
"4","American Redstart",1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"5","Blue Jay",4,3,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"6","Blue-gray Gnatcatcher",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"7","Blue-headed Vireo",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"8","Brown Thrasher",13,3,NA,NA,NA,NA,NA,NA,2,4,2,1,2,2
"9","Carolina Chickadee",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1
"10","Carolina Wren",71,38,4,2,5,4,4,"8",6,2,4,2,3,2
"11","Common Yellowthroat",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Downy Woodpecker",5,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Eastern Phoebe",4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
"14","Golden-crowned Kinglet",2,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"15","Gray-cheeked Thrush",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Gray Catbird",3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Hermit Thrush",6,4,NA,NA,NA,NA,NA,NA,NA,1,3,NA,2,NA
"18","Hooded Warbler",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","House Wren",2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"20","Indigo Bunting",5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
"21","Kentucky Warbler",2,2,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"22","Northern Cardinal",79,58,8,8,3,1,3,"4",11,3,1,NA,3,8
"23","Northern Waterthrush",2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Orange-crowned Warbler",5,4,NA,NA,NA,NA,NA,NA,NA,3,1,NA,1,NA
"25","Ovenbird",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Rose-breasted Grosbeak",1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"27","Red-bellied Woodpecker",1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"28","Ruby-crowned Kinglet",15,8,NA,NA,NA,NA,NA,NA,NA,3,4,4,2,2
"29","Rufous Hummingbird",3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA
"30","Swainson's Thrush",2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Tennessee Warbler",1,1,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"32","Tufted Titmouse",6,6,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA
"33","Veery",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","White-eyed Vireo",12,7,2,2,1,NA,NA,NA,2,1,1,NA,NA,NA
"35","White-throated Sparrow",15,14,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,3
"36","Worm-eating Warbler",1,1,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"37","Wilson's Warbler",1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"38","Winter Wren",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"39","Wood Thrush",3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Yellow-breasted Chat",1,1,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
